orgName,venueName,address,cityName,postcode,stateName,countryName,categoryName,menuItemName,cost,genericDishName,toppingName
Nobody's Sports Grill and Bbq,Nobody's Sports Grill and Bbq__37129,116 John R Rice Blvd,"Murfreesboro, WV",37129,West Virginia,United States,takeout,Blackened Chicken Caesar Pizza__Nobody's Sports Grill and Bbq__37129,12.99,chicken,cheese
Nobody's Sports Grill and Bbq,Nobody's Sports Grill and Bbq__37129,116 John R Rice Blvd,"Murfreesboro, WV",37129,West Virginia,United States,takeout,Blackened Chicken Caesar Pizza__Nobody's Sports Grill and Bbq__37129,12.99,chicken,dress
Nobody's Sports Grill and Bbq,Nobody's Sports Grill and Bbq__37129,116 John R Rice Blvd,"Murfreesboro, WV",37129,West Virginia,United States,barbecue,Blackened Chicken Caesar Pizza__Nobody's Sports Grill and Bbq__37129,12.99,chicken,romaine
Nobody's Sports Grill and Bbq,Nobody's Sports Grill and Bbq__37129,116 John R Rice Blvd,"Murfreesboro, WV",37129,West Virginia,United States,barbecue,Blackened Chicken Caesar Pizza__Nobody's Sports Grill and Bbq__37129,12.99,chicken,chicken
Nobody's Sports Grill and Bbq,Nobody's Sports Grill and Bbq__37129,116 John R Rice Blvd,"Murfreesboro, WV",37129,West Virginia,United States,barbecue,Blackened Chicken Caesar Pizza__Nobody's Sports Grill and Bbq__37129,12.99,chicken,cheese
Nobody's Sports Grill and Bbq,Nobody's Sports Grill and Bbq__37129,116 John R Rice Blvd,"Murfreesboro, WV",37129,West Virginia,United States,barbecue,Blackened Chicken Caesar Pizza__Nobody's Sports Grill and Bbq__37129,12.99,chicken,dress
Nobody's Sports Grill and Bbq,Nobody's Sports Grill and Bbq__37129,116 John R Rice Blvd,"Murfreesboro, WV",37129,West Virginia,United States,american,Cheese Pizza__Nobody's Sports Grill and Bbq__37129,9.99,cheese,delicious
Nobody's Sports Grill and Bbq,Nobody's Sports Grill and Bbq__37129,116 John R Rice Blvd,"Murfreesboro, WV",37129,West Virginia,United States,american,Cheese Pizza__Nobody's Sports Grill and Bbq__37129,9.99,cheese,simple
Nobody's Sports Grill and Bbq,Nobody's Sports Grill and Bbq__37129,116 John R Rice Blvd,"Murfreesboro, WV",37129,West Virginia,United States,american,Cheese Pizza__Nobody's Sports Grill and Bbq__37129,9.99,cheese,sauce
Nobody's Sports Grill and Bbq,Nobody's Sports Grill and Bbq__37129,116 John R Rice Blvd,"Murfreesboro, WV",37129,West Virginia,United States,american,Cheese Pizza__Nobody's Sports Grill and Bbq__37129,9.99,cheese,mozzarella
Nobody's Sports Grill and Bbq,Nobody's Sports Grill and Bbq__37129,116 John R Rice Blvd,"Murfreesboro, WV",37129,West Virginia,United States,grill,Cheese Pizza__Nobody's Sports Grill and Bbq__37129,9.99,cheese,delicious
Nobody's Sports Grill and Bbq,Nobody's Sports Grill and Bbq__37129,116 John R Rice Blvd,"Murfreesboro, WV",37129,West Virginia,United States,grill,Cheese Pizza__Nobody's Sports Grill and Bbq__37129,9.99,cheese,simple
Nobody's Sports Grill and Bbq,Nobody's Sports Grill and Bbq__37129,116 John R Rice Blvd,"Murfreesboro, WV",37129,West Virginia,United States,grill,Cheese Pizza__Nobody's Sports Grill and Bbq__37129,9.99,cheese,sauce
Nobody's Sports Grill and Bbq,Nobody's Sports Grill and Bbq__37129,116 John R Rice Blvd,"Murfreesboro, WV",37129,West Virginia,United States,grill,Cheese Pizza__Nobody's Sports Grill and Bbq__37129,9.99,cheese,mozzarella
Nobody's Sports Grill and Bbq,Nobody's Sports Grill and Bbq__37129,116 John R Rice Blvd,"Murfreesboro, WV",37129,West Virginia,United States,sport,Cheese Pizza__Nobody's Sports Grill and Bbq__37129,9.99,cheese,delicious
Nobody's Sports Grill and Bbq,Nobody's Sports Grill and Bbq__37129,116 John R Rice Blvd,"Murfreesboro, WV",37129,West Virginia,United States,sport,Cheese Pizza__Nobody's Sports Grill and Bbq__37129,9.99,cheese,simple
Nobody's Sports Grill and Bbq,Nobody's Sports Grill and Bbq__37129,116 John R Rice Blvd,"Murfreesboro, WV",37129,West Virginia,United States,sport,Cheese Pizza__Nobody's Sports Grill and Bbq__37129,9.99,cheese,sauce
Nobody's Sports Grill and Bbq,Nobody's Sports Grill and Bbq__37129,116 John R Rice Blvd,"Murfreesboro, WV",37129,West Virginia,United States,sport,Cheese Pizza__Nobody's Sports Grill and Bbq__37129,9.99,cheese,mozzarella
Nobody's Sports Grill and Bbq,Nobody's Sports Grill and Bbq__37129,116 John R Rice Blvd,"Murfreesboro, WV",37129,West Virginia,United States,bar,Cheese Pizza__Nobody's Sports Grill and Bbq__37129,9.99,cheese,delicious
Nobody's Sports Grill and Bbq,Nobody's Sports Grill and Bbq__37129,116 John R Rice Blvd,"Murfreesboro, WV",37129,West Virginia,United States,bar,Cheese Pizza__Nobody's Sports Grill and Bbq__37129,9.99,cheese,simple
Nobody's Sports Grill and Bbq,Nobody's Sports Grill and Bbq__37129,116 John R Rice Blvd,"Murfreesboro, WV",37129,West Virginia,United States,bar,Cheese Pizza__Nobody's Sports Grill and Bbq__37129,9.99,cheese,sauce
Nobody's Sports Grill and Bbq,Nobody's Sports Grill and Bbq__37129,116 John R Rice Blvd,"Murfreesboro, WV",37129,West Virginia,United States,bar,Cheese Pizza__Nobody's Sports Grill and Bbq__37129,9.99,cheese,mozzarella
Nobody's Sports Grill and Bbq,Nobody's Sports Grill and Bbq__37129,116 John R Rice Blvd,"Murfreesboro, WV",37129,West Virginia,United States,caterer,Cheese Pizza__Nobody's Sports Grill and Bbq__37129,9.99,cheese,delicious
Nobody's Sports Grill and Bbq,Nobody's Sports Grill and Bbq__37129,116 John R Rice Blvd,"Murfreesboro, WV",37129,West Virginia,United States,caterer,Cheese Pizza__Nobody's Sports Grill and Bbq__37129,9.99,cheese,simple
Nobody's Sports Grill and Bbq,Nobody's Sports Grill and Bbq__37129,116 John R Rice Blvd,"Murfreesboro, WV",37129,West Virginia,United States,caterer,Cheese Pizza__Nobody's Sports Grill and Bbq__37129,9.99,cheese,sauce
Nobody's Sports Grill and Bbq,Nobody's Sports Grill and Bbq__37129,116 John R Rice Blvd,"Murfreesboro, WV",37129,West Virginia,United States,caterer,Cheese Pizza__Nobody's Sports Grill and Bbq__37129,9.99,cheese,mozzarella
Nobody's Sports Grill and Bbq,Nobody's Sports Grill and Bbq__37129,116 John R Rice Blvd,"Murfreesboro, WV",37129,West Virginia,United States,takeout,Cheese Pizza__Nobody's Sports Grill and Bbq__37129,9.99,cheese,delicious
Nobody's Sports Grill and Bbq,Nobody's Sports Grill and Bbq__37129,116 John R Rice Blvd,"Murfreesboro, WV",37129,West Virginia,United States,takeout,Cheese Pizza__Nobody's Sports Grill and Bbq__37129,9.99,cheese,simple
Nobody's Sports Grill and Bbq,Nobody's Sports Grill and Bbq__37129,116 John R Rice Blvd,"Murfreesboro, WV",37129,West Virginia,United States,takeout,Cheese Pizza__Nobody's Sports Grill and Bbq__37129,9.99,cheese,sauce
Nobody's Sports Grill and Bbq,Nobody's Sports Grill and Bbq__37129,116 John R Rice Blvd,"Murfreesboro, WV",37129,West Virginia,United States,takeout,Cheese Pizza__Nobody's Sports Grill and Bbq__37129,9.99,cheese,mozzarella
Nobody's Sports Grill and Bbq,Nobody's Sports Grill and Bbq__37129,116 John R Rice Blvd,"Murfreesboro, WV",37129,West Virginia,United States,barbecue,Cheese Pizza__Nobody's Sports Grill and Bbq__37129,9.99,cheese,delicious
Nobody's Sports Grill and Bbq,Nobody's Sports Grill and Bbq__37129,116 John R Rice Blvd,"Murfreesboro, WV",37129,West Virginia,United States,barbecue,Cheese Pizza__Nobody's Sports Grill and Bbq__37129,9.99,cheese,simple
Nobody's Sports Grill and Bbq,Nobody's Sports Grill and Bbq__37129,116 John R Rice Blvd,"Murfreesboro, WV",37129,West Virginia,United States,barbecue,Cheese Pizza__Nobody's Sports Grill and Bbq__37129,9.99,cheese,sauce
Nobody's Sports Grill and Bbq,Nobody's Sports Grill and Bbq__37129,116 John R Rice Blvd,"Murfreesboro, WV",37129,West Virginia,United States,barbecue,Cheese Pizza__Nobody's Sports Grill and Bbq__37129,9.99,cheese,mozzarella
Pizza Nora,Pizza Nora__92880,6987 Hamner Ave,"Corona, CA",92880,California,United States,caterer,Mexican Pizza__Pizza Nora__92880,12.5,others,cheese
Pizza Nora,Pizza Nora__92880,6987 Hamner Ave,"Corona, CA",92880,California,United States,caterer,Mexican Pizza__Pizza Nora__92880,12.5,others,onion
Pizza Nora,Pizza Nora__92880,6987 Hamner Ave,"Corona, CA",92880,California,United States,caterer,Mexican Pizza__Pizza Nora__92880,12.5,others,pepper
Pizza Nora,Pizza Nora__92880,6987 Hamner Ave,"Corona, CA",92880,California,United States,caterer,Mexican Pizza__Pizza Nora__92880,12.5,others,chorizo
